date;brent;HSFO
1-Nov-11;106.66;102.66
2-Nov-11;110.835;103.0569231
3-Nov-11;110.94;103.6246154
4-Nov-11;112.195;105.0246154
7-Nov-11;115.155;102.7061538
8-Nov-11;115.8;103.38
9-Nov-11;115.23;101.7584615
10-Nov-11;113.43;102.9307692
11-Nov-11;114.345;103.8138462
14-Nov-11;112.76;105.1061538
15-Nov-11;111.975;104.6661538
16-Nov-11;112.335;106.1907692
17-Nov-11;109.17;103.7938462
18-Nov-11;107.785;103.3476923
21-Nov-11;106.02;105.8138462
22-Nov-11;107.72;105.2553846
23-Nov-11;106.65;107.1015385
24-Nov-11;107.355;110.2353846
25-Nov-11;106.715;110.0876923
28-Nov-11;109.215;108.6
29-Nov-11;111.215;110.1292308
30-Nov-11;111.02;110.5061538
1-Dec-11;108.94;109.5369231
2-Dec-11;109.36;109.0861538
5-Dec-11;111.165;107.4630769
6-Dec-11;110.155;104.7615385
7-Dec-11;109.935;102.0353846
8-Dec-11;108.165;102.2230769
9-Dec-11;107.705;103.9584615
12-Dec-11;107.715;103.5769231
13-Dec-11;108.835;103.4923077
14-Dec-11;105.985;103.6369231
15-Dec-11;105.055;105.0846154
16-Dec-11;104.575;105.8384615
19-Dec-11;104.935;106.1861538
20-Dec-11;107.855;105.9907692
21-Dec-11;108.31;105.96
22-Dec-11;108.99;105.02
23-Dec-11;108.375;105.72
28-Dec-11;107.425;105.3107692
29-Dec-11;106.68;101.98
30-Dec-11;106.51;101.9538462
3-Jan-12;111.145;101.8292308
4-Jan-12;113.18;102.8230769
5-Jan-12;113.805;100.2830769
6-Jan-12;111.58;99.02923077
9-Jan-12;110.84;98.40615385
10-Jan-12;112.665;101.2276923
11-Jan-12;112.065;102.9338462
12-Jan-12;112.935;103.1153846
13-Jan-12;109.885;103.36
16-Jan-12;110.285;103.2076923
17-Jan-12;109.965;103.4569231
18-Jan-12;109.495;103.6692308
19-Jan-12;109.395;104.8923077
20-Jan-12;108.3;106.4307692
23-Jan-12;109.365;110.1430769
24-Jan-12;108.545;111.0061538
25-Jan-12;108.545;109.82
26-Jan-12;109.39;109.8230769
27-Jan-12;110.39;110.9153846
30-Jan-12;110.135;112.8630769
31-Jan-12;110.265;112.6353846
1-Feb-12;111.93;112.2030769
2-Feb-12;111.51;111.1753846
3-Feb-12;112.215;111.9984615
6-Feb-12;115.8;112.5615385
7-Feb-12;116.675;111.9815385
8-Feb-12;116.72;112.1861538
9-Feb-12;118.7;111.0323077
10-Feb-12;118.12;111.8815385
13-Feb-12;119.35;111.74
14-Feb-12;118.775;110.7861538
15-Feb-12;120.935;110.8723077
16-Feb-12;121.135;110.3261538
17-Feb-12;120.31;110.4338462
20-Feb-12;121.55;108.44
21-Feb-12;121.42;110.6046154
22-Feb-12;124.01;111.28
23-Feb-12;124.29;111.9076923
24-Feb-12;124.99;113.4492308
27-Feb-12;125.115;113.8446154
28-Feb-12;124.36;113.5353846
29-Feb-12;122.725;111.8507692
1-Mar-12;126.39;112.3030769
2-Mar-12;126.43;112.3230769
5-Mar-12;126.47;113.4630769
6-Mar-12;124.645;112.9830769
7-Mar-12;124.86;112.1092308
8-Mar-12;128.17;114.08
9-Mar-12;127.54;114.6476923
12-Mar-12;126.825;115.4538462
13-Mar-12;127.62;115.6261538
14-Mar-12;126.615;114.1092308
15-Mar-12;123.825;112.6246154
16-Mar-12;125.06;113.2769231
19-Mar-12;125.69;116.1784615
20-Mar-12;123.895;115.22
21-Mar-12;123.7;115.7215385
22-Mar-12;122.56;114.1784615
23-Mar-12;124.985;115.0184615
26-Mar-12;125.85;113.4938462
27-Mar-12;125.08;113.7415385
28-Mar-12;124.455;115.6415385
29-Mar-12;123.195;115.9323077
30-Mar-12;123.46;115.2876923
2-Apr-12;124.64;115.4184615
3-Apr-12;125.615;116.2184615
4-Apr-12;122.935;115.8307692
5-Apr-12;123.01;115.5230769
10-Apr-12;121.27;114.8553846
11-Apr-12;120.07;114.9938462
12-Apr-12;120.43;115.4061538
13-Apr-12;120.425;116.2953846
16-Apr-12;117.8;115.3830769
17-Apr-12;117.2;115.3984615
18-Apr-12;115.12;114.0830769
19-Apr-12;117.18;114.2015385
20-Apr-12;117.79;115.2615385
23-Apr-12;116.275;114.6092308
24-Apr-12;117.445;114.2353846
25-Apr-12;117.375;113.52
26-Apr-12;119.27;113.2015385
27-Apr-12;118.785;111.5584615
30-Apr-12;118.5;112.3861538
1-May-12;119.185;112.9569231
2-May-12;117.53;111.4569231
3-May-12;115.925;110.7123077
4-May-12;111.83;110.9076923
8-May-12;110.835;111.3046154
9-May-12;112.18;111.0615385
10-May-12;112.73;110.6353846
11-May-12;112.63;111.3615385
14-May-12;110.755;111.6138462
15-May-12;111.2;111.8138462
16-May-12;111.065;112.0892308
17-May-12;109.23;111.86
18-May-12;108.21;112.4753846
21-May-12;108.905;110.48
22-May-12;109.945;108.3446154
23-May-12;106.845;105.6738462
24-May-12;107.4;105.68
25-May-12;107.73;105.2153846
28-May-12;107.68;104.8492308
29-May-12;107.345;103.5969231
30-May-12;103.535;102.8369231
31-May-12;101.655;104.2661538
1-Jun-12;98.46;103.8492308
6-Jun-12;101.205;103.6323077
7-Jun-12;99.93;100.86
8-Jun-12;97.355;101.68
11-Jun-12;97.98;102.2446154
12-Jun-12;96.285;101.7153846
13-Jun-12;97.32;100.1369231
14-Jun-12;96.62;102.2569231
15-Jun-12;97.01;101.9307692
18-Jun-12;95.27;101.7907692
19-Jun-12;95.19;100.4615385
20-Jun-12;93.53;98.52769231
21-Jun-12;89.165;95.64923077
22-Jun-12;89.365;91.21230769
25-Jun-12;88.62;91.48
26-Jun-12;90.285;92.79384615
27-Jun-12;92.43;93.45076923
28-Jun-12;91.455;91.64769231
29-Jun-12;94.495;94.96307692
2-Jul-12;95.505;93.11230769
3-Jul-12;100.42;94.16461538
4-Jul-12;99.56;93.87076923
5-Jul-12;101.805;95.48
6-Jul-12;98.51;94.44
9-Jul-12;99.96;90.93538462
10-Jul-12;99.13;92.13384615
11-Jul-12;99.165;89.98
12-Jul-12;99.57;87.92461538
13-Jul-12;102.4;88.33538462
16-Jul-12;103.51;89.09692308
17-Jul-12;104.035;88.98461538
18-Jul-12;105.765;89.83384615
19-Jul-12;107.81;89.68461538
20-Jul-12;106.815;91.75692308
23-Jul-12;103.85;92.49846154
24-Jul-12;103.51;94.14615385
25-Jul-12;102.45;95.32923077
26-Jul-12;104.975;94.39846154
27-Jul-12;106.11;92.81076923
30-Jul-12;106.305;92.39384615
31-Jul-12;105.765;92.59384615
1-Aug-12;106.8;93.24923077
2-Aug-12;107.645;94.68461538
3-Aug-12;109.765;94.74153846
6-Aug-12;109.85;96.87538462
7-Aug-12;112.58;96.97384615
8-Aug-12;113.81;98.76461538
9-Aug-12;113.55;99.94307692
10-Aug-12;112.965;96.40769231
13-Aug-12;113.885;96.35846154
14-Aug-12;113.765;96.31384615
15-Aug-12;115.285;97.23384615
16-Aug-12;115.995;98.60307692
17-Aug-12;115.225;98.86923077
20-Aug-12;115.12;98.81538462
21-Aug-12;116.07;98.51384615
22-Aug-12;115.86;98.63538462
23-Aug-12;117.53;98.74307692
24-Aug-12;115.975;100.0938462
28-Aug-12;112.595;101.58
29-Aug-12;112.575;102.1907692
30-Aug-12;112.81;102.6769231
31-Aug-12;114.4;102.8415385
3-Sep-12;115.335;103.6430769
4-Sep-12;114.64;103.6015385
5-Sep-12;113.18;105.3476923
6-Sep-12;114.35;105.0492308
7-Sep-12;113.725;105.0276923
10-Sep-12;114.04;105.2523077
11-Sep-12;114.73;107.1830769
12-Sep-12;115.43;105.8292308
13-Sep-12;115.95;106.4953846
14-Sep-12;117.15;105.4276923
17-Sep-12;116.49;104.7169231
